# Rime user dictionary
#@/db_name	clover.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	35748
#@/user_id	snylonue-home-win10
bian hao 	编号	c=0 d=0.0154124 t=35748
bian hua 	变化	c=7 d=0.722527 t=35748
bian hua liang 	变化量	c=1 d=1 t=12111
bian ji 	编辑	c=1 d=1 t=14341
bian ji 	边际	c=1 d=1 t=26432
bian ji qi 	编辑器	c=1 d=1 t=27849
bian jie 	边界	c=3 d=1 t=23579
bian ju 	编剧	c=1 d=1 t=15994
bian kan 	边看	c=2 d=1 t=21892
bian kuai 	变快	c=1 d=1 t=28328
bian kuang 	边框	c=1 d=1 t=17242
bian le 	变了	c=5 d=1 t=27575
bian liang 	变量	c=3 d=1 t=32832
bian liang ming 	变量名	c=1 d=1 t=15813
bian ma 	编码	c=5 d=2.07968 t=35748
bian ma qi 	编码器	c=1 d=1 t=7015
bian qi guai le 	便奇怪了	c=1 d=0.946485 t=35748
bian qian 	变迁	c=1 d=1 t=2431
bian ren 	变人	c=1 d=1 t=16844
bian se 	变色	c=1 d=1 t=34762
bian tai 	变态	c=1 d=1 t=13638
bian ti 	辩题	c=1 d=1 t=5221
bian ting 	边听	c=3 d=1 t=32679
bian wei 	变为	c=3 d=1.51574 t=35748
bian xiao 	变小	c=1 d=1 t=19679
bian xie 	边写	c=0 d=0.1 t=32679
bian xie zuo ye 	边写作业	c=1 d=1 t=32680
bian yi 	变异	c=1 d=1 t=10552
bian yi 	编译	c=6 d=2.85526 t=31960
bian yi 	贬义	c=3 d=0.416798 t=19437
bian yi dao 	编译到	c=1 d=1 t=31475
bian yi se cai 	贬义色彩	c=1 d=1 t=19438
bian you 	便有	c=0 d=0.1 t=19458
bian you dong 	便有动	c=1 d=1 t=19459
bian you ren 	便有人	c=1 d=1 t=19222
bian yuan 	边缘	c=1 d=1 t=4200
bian zao 	编造	c=1 d=1 t=11259
bian zheng tong yi 	辩证统一	c=1 d=1 t=9754
bian zhi 	贬值	c=1 d=1 t=21910
biao 	标	c=1 d=1 t=29747
biao 	表	c=6 d=1 t=29656
biao da 	表达	c=7 d=1.00046 t=23657
biao da neng li 	表达能力	c=2 d=1 t=14719
biao da shi 	表达式	c=1 d=1 t=10728
biao fan 	表番	c=1 d=1 t=18758
biao ge 	表格	c=2 d=1 t=26450
biao ji 	标记	c=4 d=1 t=21743
